Ground Points:
Point 1: X=-69.531, Y=518.719, Z=2021.000
Point 2: X=-59.125, Y=518.719, Z=2021.000
Point 3: X=-55.656, Y=518.719, Z=2021.000
Point 4: X=-38.312, Y=518.719, Z=2021.000
Point 5: X=-72.566, Y=519.087, Z=2009.000
Point 6: X=-69.118, Y=519.087, Z=2009.000
Point 7: X=-58.774, Y=519.087, Z=2009.000
Point 8: X=-55.325, Y=519.087, Z=2009.000
Point 9: X=-51.877, Y=519.087, Z=2009.000
Point 10: X=-48.429, Y=519.087, Z=2009.000
Point 11: X=-41.533, Y=519.087, Z=2009.000
Point 12: X=-38.084, Y=519.087, Z=2009.000
Point 13: X=1027.406, Y=519.087, Z=2009.000
Point 14: X=1092.922, Y=519.087, Z=2009.000
Point 15: X=1103.267, Y=519.087, Z=2009.000
Point 16: X=-195.624, Y=519.674, Z=1998.000
Point 17: X=-192.195, Y=519.674, Z=1998.000
Point 18: X=-72.169, Y=519.674, Z=1998.000
Point 19: X=-58.452, Y=519.674, Z=1998.000
Point 20: X=-55.022, Y=519.674, Z=1998.000
Point 21: X=-51.593, Y=519.674, Z=1998.000
Point 22: X=-48.164, Y=519.674, Z=1998.000
Point 23: X=-37.876, Y=519.674, Z=1998.000
Point 24: X=1080.079, Y=519.674, Z=1998.000
Point 25: X=1086.938, Y=519.674, Z=1998.000
Point 26: X=1097.226, Y=519.674, Z=1998.000
Point 27: X=1100.655, Y=519.674, Z=1998.000
Point 28: X=1104.084, Y=519.674, Z=1998.000
Point 29: X=-206.932, Y=517.081, Z=1975.000
Point 30: X=-203.542, Y=517.081, Z=1975.000
Point 31: X=-200.152, Y=517.081, Z=1975.000
Point 32: X=-197.858, Y=519.961, Z=1986.000
Point 33: X=-194.449, Y=519.961, Z=1986.000
Point 34: X=-191.041, Y=519.961, Z=1986.000
Point 35: X=-187.632, Y=519.961, Z=1986.000
Point 36: X=-184.223, Y=519.961, Z=1986.000
Point 37: X=-180.814, Y=519.961, Z=1986.000
Point 38: X=-176.423, Y=517.081, Z=1975.000
Point 39: X=-173.033, Y=517.081, Z=1975.000
Point 40: X=-169.643, Y=517.081, Z=1975.000
Point 41: X=-166.254, Y=517.081, Z=1975.000
Point 42: X=-162.864, Y=517.081, Z=1975.000
Point 43: X=-159.474, Y=517.081, Z=1975.000
Point 44: X=-156.084, Y=517.081, Z=1975.000
Point 45: X=-152.694, Y=517.081, Z=1975.000
Point 46: X=-149.304, Y=517.081, Z=1975.000
Point 47: X=-145.915, Y=517.081, Z=1975.000
Point 48: X=-142.525, Y=517.081, Z=1975.000
Point 49: X=-139.135, Y=517.081, Z=1975.000
Point 50: X=-135.745, Y=517.081, Z=1975.000
Point 51: X=-112.016, Y=517.081, Z=1975.000
Point 52: X=-108.626, Y=517.081, Z=1975.000
Point 53: X=-105.237, Y=517.081, Z=1975.000
Point 54: X=-101.847, Y=517.081, Z=1975.000
Point 55: X=-99.005, Y=519.961, Z=1986.000
Point 56: X=-95.597, Y=519.961, Z=1986.000
Point 57: X=-92.188, Y=519.961, Z=1986.000
Point 58: X=-88.779, Y=519.961, Z=1986.000
Point 59: X=-85.370, Y=519.961, Z=1986.000
Point 60: X=-81.508, Y=517.081, Z=1975.000
Point 61: X=-78.118, Y=517.081, Z=1975.000
Point 62: X=-75.144, Y=519.961, Z=1986.000
Point 63: X=-71.736, Y=519.961, Z=1986.000
Point 64: X=-68.327, Y=519.961, Z=1986.000
Point 65: X=-64.918, Y=519.961, Z=1986.000
Point 66: X=-61.169, Y=517.081, Z=1975.000
Point 67: X=-58.101, Y=519.961, Z=1986.000
Point 68: X=-54.692, Y=519.961, Z=1986.000
Point 69: X=-51.283, Y=519.961, Z=1986.000
Point 70: X=-47.875, Y=519.961, Z=1986.000
Point 71: X=-44.466, Y=519.961, Z=1986.000
Point 72: X=-41.057, Y=519.961, Z=1986.000
Point 73: X=-37.648, Y=519.961, Z=1986.000
Point 74: X=-34.240, Y=519.961, Z=1986.000
Point 75: X=-30.831, Y=519.961, Z=1986.000
Point 76: X=-27.422, Y=519.961, Z=1986.000
Point 77: X=-24.014, Y=519.961, Z=1986.000
Point 78: X=-20.491, Y=517.081, Z=1975.000
Point 79: X=-17.101, Y=517.081, Z=1975.000
Point 80: X=-13.711, Y=517.081, Z=1975.000
Point 81: X=-10.321, Y=517.081, Z=1975.000
Point 82: X=-6.931, Y=517.081, Z=1975.000
Point 83: X=-3.542, Y=517.081, Z=1975.000
Point 84: X=-0.152, Y=517.081, Z=1975.000
Point 85: X=3.238, Y=517.081, Z=1975.000
Point 86: X=6.628, Y=517.081, Z=1975.000
Point 87: X=10.018, Y=517.081, Z=1975.000
Point 88: X=13.408, Y=517.081, Z=1975.000
Point 89: X=16.891, Y=519.961, Z=1986.000
Point 90: X=20.187, Y=517.081, Z=1975.000
Point 91: X=23.577, Y=517.081, Z=1975.000
Point 92: X=26.967, Y=517.081, Z=1975.000
Point 93: X=30.357, Y=517.081, Z=1975.000
Point 94: X=33.747, Y=517.081, Z=1975.000
